127.0.0.1, 2015-03-22 02:50:01, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000583
127.0.0.1, 2015-03-22 02:50:01, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000429
127.0.0.1, 2015-03-22 02:50:01, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000500
127.0.0.1, 2015-03-22 02:50:01, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000535
127.0.0.1, 2015-03-22 02:50:01, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000427
127.0.0.1, 2015-03-22 02:50:01, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000367
127.0.0.1, 2015-03-22 02:50:01, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.001503
127.0.0.1, 2015-03-22 02:50:01, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000369
127.0.0.1, 2015-03-22 02:50:01, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000470
127.0.0.1, 2015-03-22 02:50:01, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000489
127.0.0.1, 2015-03-22 02:50:01, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000333
127.0.0.1, 2015-03-22 02:50:01, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000504
127.0.0.1, 2015-03-22 02:50:02, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.001163
127.0.0.1, 2015-03-22 02:50:02, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000804
127.0.0.1, 2015-03-22 02:50:02, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000751
127.0.0.1, 2015-03-22 02:50:02, GET, /welcome/default/index, HTTP/1.1, 200, 0.034803
127.0.0.1, 2015-03-22 02:50:02, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000509
127.0.0.1, 2015-03-22 02:50:02, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000506
127.0.0.1, 2015-03-22 02:50:02, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000433
127.0.0.1, 2015-03-22 02:50:02, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000399
127.0.0.1, 2015-03-22 02:50:02, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000373
127.0.0.1, 2015-03-22 02:50:02, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000582
127.0.0.1, 2015-03-22 02:50:02, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000389
127.0.0.1, 2015-03-22 02:50:02, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000369
127.0.0.1, 2015-03-22 02:50:02, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000361
127.0.0.1, 2015-03-22 02:50:02, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000495
127.0.0.1, 2015-03-22 02:50:02, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000413
127.0.0.1, 2015-03-22 02:50:03, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000502
127.0.0.1, 2015-03-22 02:50:03, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000572
127.0.0.1, 2015-03-22 02:50:03, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000781
127.0.0.1, 2015-03-22 02:50:03, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.001171
127.0.0.1, 2015-03-22 02:50:03, GET, /welcome/default/index, HTTP/1.1, 200, 0.023681
127.0.0.1, 2015-03-22 02:50:03, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000498
127.0.0.1, 2015-03-22 02:50:03, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000450
127.0.0.1, 2015-03-22 02:50:03, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000361
127.0.0.1, 2015-03-22 02:50:03, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000456
127.0.0.1, 2015-03-22 02:50:03, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000406
127.0.0.1, 2015-03-22 02:50:03, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000467
127.0.0.1, 2015-03-22 02:50:03, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000373
127.0.0.1, 2015-03-22 02:50:03, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000407
127.0.0.1, 2015-03-22 02:50:03, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000371
127.0.0.1, 2015-03-22 02:50:03, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002399
127.0.0.1, 2015-03-22 02:50:03, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000357
127.0.0.1, 2015-03-22 02:50:03, GET, /welcome/default/index, HTTP/1.1, 200, 0.045055
127.0.0.1, 2015-03-22 02:50:03, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000497
127.0.0.1, 2015-03-22 02:50:03, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000429
127.0.0.1, 2015-03-22 02:50:03, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000434
127.0.0.1, 2015-03-22 02:50:03, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000406
127.0.0.1, 2015-03-22 02:50:03, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.002292
127.0.0.1, 2015-03-22 02:50:03, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000343
127.0.0.1, 2015-03-22 02:50:03, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000440
127.0.0.1, 2015-03-22 02:50:03, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000404
127.0.0.1, 2015-03-22 02:50:03, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000499
127.0.0.1, 2015-03-22 02:50:03, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000403
127.0.0.1, 2015-03-22 02:50:03, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000370
127.0.0.1, 2015-03-22 02:50:03, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000509
127.0.0.1, 2015-03-22 02:50:03, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000424
127.0.0.1, 2015-03-22 02:50:03, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000369
127.0.0.1, 2015-03-22 02:50:03, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.001983
127.0.0.1, 2015-03-22 02:50:53, GET, /welcome/default/index, HTTP/1.1, 200, 0.010969
127.0.0.1, 2015-03-22 02:52:28, GET, /welcome/default/index, HTTP/1.1, 200, 0.027765
127.0.0.1, 2015-03-22 02:52:28, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000497
127.0.0.1, 2015-03-22 02:52:28, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000466
127.0.0.1, 2015-03-22 02:52:28, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000363
127.0.0.1, 2015-03-22 02:52:28, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000404
127.0.0.1, 2015-03-22 02:52:28, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000524
127.0.0.1, 2015-03-22 02:52:28, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.003038
127.0.0.1, 2015-03-22 02:52:28, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000381
127.0.0.1, 2015-03-22 02:52:28, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000501
127.0.0.1, 2015-03-22 02:52:28, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000450
127.0.0.1, 2015-03-22 02:52:28, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000370
127.0.0.1, 2015-03-22 02:52:28, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000494
127.0.0.1, 2015-03-22 02:52:29, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000358
127.0.0.1, 2015-03-22 02:52:29, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000779
127.0.0.1, 2015-03-22 02:52:29, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000542
127.0.0.1, 2015-03-22 02:52:29, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000508
127.0.0.1, 2015-03-22 02:52:45, GET, /admin/default/peek/welcome/views/default/index.html, HTTP/1.1, 200, 0.045846
127.0.0.1, 2015-03-22 02:56:06, GET, /, HTTP/1.1, 303, 0.001018
127.0.0.1, 2015-03-22 02:56:06, GET, /welcome/default/index, HTTP/1.1, 200, 0.013528
